match_id,champion,kills,deaths,assists,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_565478949,Galio,2,4,2,8,21,6,1,2,3,2,4,4,1,1,3,2,1,0,1,0,0,1,0
JP1_565486188,Galio,3,7,12,22,29,12,4,0,8,5,7,2,2,7,2,3,7,0,3,1,1,1,7
JP1_565494732,Galio,3,0,10,13,30,9,8,1,0,9,0,3,5,0,2,5,2,3,0,1,0,2,0
JP1_565500563,Galio,1,8,9,18,29,13,4,1,8,5,8,3,6,3,4,3,6,0,3,1,3,1,1
JP1_565846622,Braum,1,13,15,29,22,14,3,1,10,2,12,3,4,7,5,4,5,1,3,1,2,3,1
JP1_565857122,Leona,2,10,5,17,21,13,2,2,9,3,10,5,5,3,7,5,1,1,2,0,3,0,0
JP1_566019333,Janna,1,7,16,24,19,10,6,1,3,4,6,3,2,5,4,6,0,3,0,2,0,3,0
JP1_566026521,Galio,4,7,16,27,26,12,6,1,5,5,7,1,2,9,2,7,3,0,2,1,1,3,1
JP1_566035486,Galio,5,7,14,26,23,12,6,2,4,7,5,3,5,4,3,9,0,0,2,0,0,2,3
JP1_566231483,Janna,2,11,3,16,25,12,1,0,11,1,11,5,5,2,3,4,5,1,1,1,1,0,5
JP1_566240791,Braum,3,4,8,15,26,10,7,1,2,6,4,3,2,5,2,5,3,2,1,1,0,1,1
JP1_566408077,Janna,2,4,7,13,17,8,5,0,3,5,3,3,3,2,7,1,0,0,1,0,2,0,1
JP1_566411946,Janna,2,9,17,28,30,15,6,3,6,6,9,2,6,7,4,10,1,3,2,1,1,0,2
JP1_566422294,Galio,0,1,2,3,9,2,1,1,0,1,1,1,1,0,2,0,0,0,1,0,0,2,0
JP1_566426768,Galio,3,7,14,24,27,12,6,1,5,5,7,4,1,7,3,3,6,3,1,4,0,2,1
JP1_566437391,Galio,2,7,3,12,22,10,2,1,7,3,7,3,4,2,2,5,3,0,3,0,1,1,3
JP1_566443929,Lissandra,1,9,7,17,25,12,4,3,5,3,9,5,1,4,2,5,5,0,3,0,1,2,4
JP1_566451333,Ahri,5,2,5,12,36,12,10,1,1,10,2,3,3,2,4,6,2,1,0,2,0,3,0
JP1_566455920,Ahri,0,4,0,4,18,4,0,0,4,0,4,2,1,1,0,2,2,0,1,0,0,0,3
JP1_566644821,Lissandra,5,10,14,29,28,14,6,3,5,5,9,3,3,7,6,6,2,2,1,3,2,4,0
JP1_566653747,Lissandra,2,7,7,16,28,10,4,1,5,3,7,5,0,3,5,5,0,1,0,1,0,1,1
JP1_566662120,Lissandra,1,6,2,9,20,6,2,0,4,2,4,4,1,1,4,2,0,1,1,0,1,0,1
JP1_566667353,Lissandra,6,1,2,9,25,6,5,0,1,5,1,3,1,0,6,0,0,1,1,1,0,1,0
JP1_566670685,Lissandra,11,2,8,21,26,11,10,0,1,9,2,5,2,3,3,8,0,3,0,0,1,3,0
JP1_566677281,Lissandra,0,5,2,7,20,6,1,0,5,1,5,5,0,0,6,0,0,0,1,0,0,0,1
JP1_566679650,Lissandra,5,4,14,23,25,8,6,0,2,4,4,3,1,4,4,4,0,0,0,1,0,5,1
JP1_566899555,Braum,2,7,1,10,18,9,1,1,7,2,7,4,4,1,4,5,0,1,2,0,1,1,2
JP1_566905385,Lissandra,1,6,3,10,27,8,3,0,5,2,6,1,4,1,3,5,0,0,1,1,0,3,1
